formatted_date,daily_sales_count,daily_redemption_count
2024-02-24,643,770
2024-02-25,770,769
2024-02-26,1059,1170
2024-02-27,1089,1216
2024-02-28,519,561
2024-02-29,516,667
2024-03-01,1055,1145
2024-03-02,781,824
2024-03-03,918,921
2024-03-04,2245,1383
2024-03-05,851,945
2024-03-06,596,837
2024-03-07,1217,1438
2024-03-08,823,993
2024-03-09,418,460
2024-03-10,509,520
2024-03-11,1129,1230
2024-03-12,1242,1345
2024-03-13,3086,3113
2024-03-14,666,769
2024-03-15,945,1121
2024-03-16,1183,1244
2024-03-17,723,833
2024-03-18,726,822
2024-03-19,473,679
2024-03-20,671,765
2024-03-21,616,813
2024-03-22,531,558
2024-03-23,940,963
2024-03-24,1109,1216
2024-03-25,972,1176
2024-03-26,729,816
2024-03-27,1112,1228
2024-03-28,1430,1568
2024-03-29,2028,2119
2024-03-30,2552,2624
2024-03-31,2433,2469
2024-04-01,1813,1691
2024-04-02,601,722
2024-04-03,442,559
2024-04-04,360,553
2024-04-05,1017,1145
2024-04-06,2681,2682
2024-04-07,3290,3356
2024-04-08,1195,1182
2024-04-09,1203,1382
2024-04-10,2047,2083
2024-04-11,519,720
2024-04-12,511,596
2024-04-13,1522,1600
2024-04-14,2231,2266
2024-04-15,1911,2033
2024-04-16,1721,1969
2024-04-17,459,645
2024-04-18,1152,1220
2024-04-19,1232,1333
2024-04-20,1484,1543
2024-04-21,2090,2185
2024-04-22,2150,2344
2024-04-23,920,1088
2024-04-24,1491,1610
2024-04-25,1926,2029
2024-04-26,2406,2590
2024-04-27,1316,1313
2024-04-28,2133,2225
2024-04-29,1684,1871
2024-04-30,1199,1179
2024-05-01,2567,2496
2024-05-02,3651,3645
2024-05-03,1777,1576
2024-05-04,5927,6020
2024-05-05,1772,1867
2024-05-06,3504,3389
2024-05-07,3119,3078
2024-05-08,2497,2610
2024-05-09,1827,1850
2024-05-10,2376,2317
2024-05-11,3525,3483
2024-05-12,5730,6140
2024-05-13,1799,1727
2024-05-14,1605,1693
2024-05-15,2466,2270
2024-05-16,3289,3265
2024-05-17,3185,2092
2024-05-18,11637,11046
2024-05-19,16742,16516
2024-05-20,14588,15707
2024-05-21,3610,3674
2024-05-22,2854,2647
2024-05-23,4263,4030
2024-05-24,6097,5291
2024-05-25,4061,4304
2024-05-26,12229,12607
2024-05-27,2386,1976
2024-05-28,2421,1738
2024-05-29,4091,4195
2024-05-30,3929,4051
2024-05-31,5791,5052
2024-06-01,10799,11468
2024-06-02,3384,3511
2024-06-03,4868,4526
2024-06-04,4642,4510
2024-06-05,3362,3838
2024-06-06,4660,4075
2024-06-07,3488,2664
2024-06-08,9330,9781
2024-06-09,4586,4495
2024-06-10,4072,3640
2024-06-11,4387,4039
2024-06-12,5502,5653
2024-06-13,6063,5324
2024-06-14,8983,6311
2024-06-15,14695,16967
2024-06-16,11349,13461
2024-06-17,7231,7425
2024-06-18,5743,5791
2024-06-19,11224,10965
2024-06-20,4869,4853
2024-06-21,6185,6029
2024-06-22,6616,7082
2024-06-23,7031,6783
2024-06-24,8198,8144
2024-06-25,5402,5539
2024-06-26,5349,4688
2024-06-27,7882,7621
2024-06-28,8565,8895
2024-06-29,4531,2768
2024-06-30,15800,16089
2024-07-01,17363,18440
2024-07-02,8317,7710
2024-07-03,7403,6386
2024-07-04,10302,10047
2024-07-05,10247,9572
2024-07-06,15798,16344
2024-07-07,15305,16073
2024-07-08,8868,8920
2024-07-09,6792,6740
2024-07-10,2608,1447
2024-07-11,8190,6719
2024-07-12,16110,13571
